34 28
1 4
1 2 194 104 2.32
2 4 189 145 2.43
3 4 181 123 0.91
4 4 162 123 1.39
2 4
1 1 273 106 0.90
2 4 227 142 0.79
3 2 224 101 0.66
4 2 216 117 1.09
3 2
1 4 278 102 1.57
2 4 215 86 1.59
4 4
1 2 237 95 2.35
2 4 211 55 1.90
3 2 184 144 0.86
4 4 173 106 1.75
5 1
1 1 2703 103 2.70
6 5
1 1 231 117 1.27
2 4 220 82 1.87
3 3 211 119 2.79
4 1 171 69 2.76
5 3 166 74 1.43
7 4
1 3 205 77 1.19
2 4 204 71 0.59
3 1 187 84 1.29
4 4 156 139 1.84
8 2
1 3 352 74 1.08
2 4 259 105 0.58
9 3
1 3 374 87 0.83
2 1 372 99 1.95
3 2 313 114 2.10
10 1
1 3 945 118 0.64
11 5
1 1 183 53 1.72
2 4 166 64 1.85
3 4 148 122 0.91
4 2 144 125 1.87
5 3 141 57 1.35
12 5
1 2 175 113 0.64
2 4 172 91 0.97
3 4 170 107 2.15
4 3 160 58 1.21
5 1 143 102 2.64
13 5
1 2 199 50 1.02
2 3 193 103 2.49
3 2 174 148 1.84
4 2 169 80 1.48
5 3 169 110 1.38
14 5
1 1 245 79 1.27
2 3 241 130 2.96
3 3 209 146 1.89
4 2 207 126 0.57
5 4 197 113 1.21
15 1
1 1 2419 90 1.57
16 2
1 3 339 88 1.85
2 4 279 95 2.20
17 5
1 3 213 119 1.68
2 2 208 69 2.70
3 2 183 104 2.63
4 3 175 52 2.26
5 2 174 96 1.36
18 4
1 1 287 128 0.63
2 2 242 100 1.52
3 2 231 120 1.63
4 4 224 145 1.14
19 4
1 3 219 75 2.78
2 2 214 66 2.41
3 4 205 134 1.44
4 2 199 101 2.38
20 5
1 1 262 126 1.52
2 2 224 60 1.76
3 2 219 78 1.27
4 3 209 145 0.50
5 1 200 115 1.22
21 1
1 3 865 88 2.26
22 4
1 2 258 106 2.62
2 2 252 100 1.34
3 4 246 57 0.67
4 4 206 77 1.90
23 3
1 1 284 134 2.71
2 4 242 133 2.85
3 3 223 112 0.76
24 5
1 1 194 136 0.80
2 3 180 92 1.08
3 3 168 132 2.07
4 4 163 139 2.52
5 4 161 132 0.88
25 3
1 2 359 64 1.53
2 2 334 80 2.49
3 2 278 149 2.94
26 2
1 2 420 139 0.81
2 4 391 105 1.88
27 1
1 1 2506 88 1.64
28 2
1 4 413 56 1.10
2 3 351 103 1.31
0 1424 0.29 2854 0.49 2955 0.19 2795 0.45 3705 0.28 2319 0.39 3394 0.42 3671 0.27 2192 0.37 2991 0.21 3701 0.40 2420 0.15 2637 0.28 2907 0.49 3646 0.49 3074 0.32 2653 0.34 3814 0.42 3165 0.24 2383 0.25 2180 0.43 2897 0.30 3694 0.15 3087 0.41 2772 0.18 1958 0.10 2117 0.48 3065 0.11 2774 
1 105 0 123 16 0.2 47 0.5 61 0.2 55 0.2 46 0.3 70 0.5 37 0.3 17 0.3 43 0.1 81 0.3 55 0.3 64 0.5 43 0.4 88 0.2 74 0.2 70 0.4 30 0.4 65 0.2 33 0.4 47 0.4 50 0.1 78 0.4 25 0.5 26 0.1 89 0.2 84 0.1 77 0.4 46 0.2 73 
