19 7
1 3
1 1 304 92 2.39
2 1 268 67 0.61
3 2 253 136 1.10
2 1
1 1 1050 100 0.68
3 5
1 4 112 100 0.64
2 2 100 68 2.02
3 4 91 54 2.45
4 2 84 128 2.44
5 2 83 110 1.10
4 2
1 4 297 134 2.91
2 1 216 123 2.41
5 4
1 3 118 130 0.70
2 4 108 90 1.86
3 2 93 94 1.19
4 4 92 116 1.71
6 2
1 4 214 96 2.24
2 3 175 58 1.13
7 1
1 1 1547 149 1.27
0 671 0.15 1290 0.44 1141 0.16 1552 0.36 2038 0.25 1721 0.31 1387 0.40 1561 
1 56 0 174 15 0.1 81 0.5 67 0.4 62 0.3 92 0.4 55 0.2 38 0.2 93 
2 52 0 100 5 0.5 12 0.4 25 0.4 32 0.3 80 0.3 43 0.2 20 0.2 30 
3 57 0 126 6 0.4 32 0.3 41 0.1 24 0.4 97 0.4 29 0.4 53 0.2 93 
4 101 0 106 8 0.2 53 0.5 63 0.4 70 0.2 90 0.1 93 0.2 39 0.1 52 
5 70 0 114 10 0.3 54 0.4 74 0.3 67 0.4 63 0.4 49 0.2 56 0.4 35 
6 127 0 130 10 0.3 57 0.2 41 0.4 36 0.4 21 0.3 89 0.1 61 0.5 32 
7 80 0 95 9 0.4 24 0.2 38 0.2 90 0.2 10 0.2 45 0.3 54 0.5 32 
8 44 0 140 4 0.2 13 0.3 44 0.2 34 0.1 32 0.2 87 0.2 12 0.1 18 
9 21 0 104 2 0.2 16 0.1 13 0.4 11 0.2 92 0.5 64 0.2 91 0.2 26 
10 50 0 174 2 0.3 63 0.3 79 0.4 97 0.3 17 0.3 87 0.4 56 0.5 42 
11 37 0 138 4 0.3 71 0.2 12 0.4 71 0.4 88 0.2 26 0.4 19 0.2 96 
12 89 0 128 16 0.2 63 0.2 11 0.2 31 0.3 99 0.2 59 0.4 53 0.5 88 
13 58 0 177 8 0.4 72 0.4 12 0.4 77 0.1 44 0.2 83 0.3 92 0.3 50 
14 35 0 109 8 0.4 73 0.3 62 0.2 83 0.2 23 0.2 64 0.3 19 0.1 80 
15 147 0 189 15 0.5 69 0.1 95 0.4 60 0.3 52 0.1 89 0.2 91 0.3 41 
16 86 0 130 6 0.5 59 0.3 21 0.2 34 0.1 31 0.3 38 0.2 66 0.5 77 
17 32 0 71 13 0.4 21 0.3 31 0.4 46 0.1 11 0.2 66 0.4 29 0.4 36 
18 154 0 189 2 0.3 47 0.4 60 0.3 80 0.4 10 0.4 59 0.3 95 0.4 56 
19 47 0 102 4 0.4 50 0.3 27 0.4 70 0.2 68 0.3 17 0.3 89 0.3 58 
0	1238	2398	2183	3214	2930	3709	2627	2677	4229	4627	7891	6341	5047	8006	8159	6765	5946	6358	7358	1238	0	1494	2632	3662	3379	4158	2981	2021	2146	3635	8387	6790	5496	8455	8608	4640	3305	4275	6364	2398	1494	0	1601	2796	3238	5164	5015	4078	2793	3192	7260	5882	5355	9456	9609	8215	4510	4922	5921	2183	2632	1601	0	1891	2612	4538	4389	5695	4410	2728	8321	4734	4728	8829	8982	7588	6127	6539	10465	3214	3662	2796	1891	0	2215	4969	5555	5706	5101	3516	8540	2461	3515	5884	10149	8755	6818	7230	10685	2930	3379	3238	2612	2215	0	3473	3747	4835	5363	5762	10464	4635	2941	3534	8340	6946	7080	7492	12609	3709	4158	5164	4538	4969	3473	0	2414	4284	7443	7841	11105	6156	3717	2665	5409	5614	6987	9572	10572	2627	2981	5015	4389	5555	3747	2414	0	2529	4682	7534	10798	9248	5936	5609	5163	3257	5280	6999	10265	2677	2021	4078	5695	5706	4835	4284	2529	0	2262	4024	8782	8279	6985	8671	12308	3795	2634	4353	6759	4229	2146	2793	4410	5101	5363	7443	4682	2262	0	2963	7715	7088	6674	10782	13585	6304	3788	2695	5692	4627	3635	3192	2728	3516	5762	7841	7534	4024	2963	0	4835	6483	9225	16701	14517	7359	4843	4670	2912	7891	8387	7260	8321	8540	10464	11105	10798	8782	7715	4835	0	5588	9427	13244	16886	16800	13183	8395	5501	6341	6790	5882	4734	2461	4635	6156	9248	8279	7088	6483	5588	0	3283	6031	13975	11825	16986	12198	9304	5047	5496	5355	4728	3515	2941	3717	5936	6985	6674	9225	9427	3283	0	3751	9949	14877	8610	15703	12809	8006	8455	9456	8829	5884	3534	2665	5609	8671	10782	16701	13244	6031	3751	0	4242	7261	15593	20098	17203	8159	8608	9609	8982	10149	8340	5409	5163	12308	13585	14517	16886	13975	9949	4242	0	5068	9132	13855	17429	6765	4640	8215	7588	8755	6946	5614	3257	3795	6304	7359	16800	11825	14877	7261	5068	0	5031	10025	13600	5946	3305	4510	6127	6818	7080	6987	5280	2634	3788	4843	13183	16986	8610	15593	9132	5031	0	3757	10358	6358	4275	4922	6539	7230	7492	9572	6999	4353	2695	4670	8395	12198	15703	20098	13855	10025	3757	0	5639	7358	6364	5921	10465	10685	12609	10572	10265	6759	5692	2912	5501	9304	12809	17203	17429	13600	10358	5639	0	
