19 28
1 4
1 2 184 74 2.16
2 1 150 127 2.15
3 3 146 94 1.99
4 2 144 61 2.21
2 4
1 2 177 125 2.60
2 3 176 60 1.64
3 3 175 81 2.83
4 1 164 115 2.28
3 3
1 4 170 53 2.51
2 2 169 56 1.25
3 2 136 58 2.93
4 4
1 4 162 130 0.56
2 1 156 119 1.76
3 2 149 133 2.45
4 4 114 55 1.42
5 1
1 3 369 61 2.25
6 2
1 3 279 128 0.75
2 1 244 90 2.11
7 4
1 1 226 128 1.54
2 1 202 112 2.45
3 3 170 68 2.31
4 3 159 91 1.92
8 4
1 4 116 55 0.78
2 4 109 67 2.69
3 3 94 80 2.60
4 1 82 50 1.97
9 4
1 3 106 146 2.60
2 3 84 86 1.48
3 4 83 91 1.18
4 2 77 140 0.79
10 3
1 3 160 69 2.24
2 1 147 123 1.39
3 3 123 81 2.55
11 2
1 3 282 69 2.05
2 1 263 144 1.58
12 2
1 4 262 64 2.79
2 1 260 127 1.76
13 2
1 1 647 111 2.71
2 1 531 70 0.52
14 4
1 3 155 126 1.55
2 3 153 73 1.67
3 1 136 139 2.85
4 2 134 65 2.51
15 1
1 4 261 115 0.89
16 4
1 3 116 132 1.66
2 3 114 56 1.99
3 3 88 91 1.54
4 4 85 128 2.19
17 5
1 1 157 80 2.96
2 2 155 50 1.97
3 4 150 129 0.77
4 2 149 99 2.47
5 1 115 107 0.55
18 1
1 3 552 108 1.45
19 1
1 3 440 110 2.71
20 1
1 3 472 54 0.87
21 2
1 1 348 84 1.59
2 3 259 75 1.90
22 3
1 4 188 92 0.90
2 3 169 91 1.70
3 1 155 133 2.96
23 2
1 2 272 53 2.72
2 4 235 119 0.77
24 1
1 3 462 115 1.56
25 2
1 1 521 146 2.79
2 2 518 114 2.87
26 3
1 2 158 84 1.92
2 4 128 83 0.53
3 3 123 56 1.13
27 2
1 1 300 106 1.57
2 4 269 148 2.10
28 3
1 1 329 73 2.42
2 2 304 74 2.11
3 2 272 141 0.63
0 784 0.21 1900 0.46 2103 0.32 1582 0.34 1684 0.20 1942 0.45 1850 0.33 1917 0.16 1257 0.38 1347 0.31 1652 0.23 1750 0.35 1481 0.32 1253 0.16 1239 0.50 1780 0.33 1429 0.41 1303 0.23 1861 0.15 1760 0.22 1584 0.23 1529 0.45 2158 0.12 1487 0.28 1533 0.13 1329 0.41 1773 0.24 2120 0.34 2183 
1 75 0 170 18 0.3 48 0.1 86 0.4 78 0.4 80 0.5 48 0.2 12 0.4 50 0.1 18 0.1 32 0.5 51 0.3 82 0.2 72 0.2 55 0.5 55 0.3 52 0.5 53 0.1 84 0.2 13 0.3 32 0.1 18 0.2 91 0.3 57 0.5 78 0.1 91 0.2 91 0.4 11 0.4 32 0.1 24 
