19 7
1 3
1 3 227 126 0.85
2 1 221 89 1.30
3 1 197 115 2.97
2 3
1 2 246 126 0.63
2 3 218 122 1.72
3 1 171 91 1.44
3 2
1 4 282 92 2.69
2 1 276 144 0.73
4 3
1 4 269 139 2.14
2 1 244 59 0.97
3 1 191 127 1.22
5 1
1 3 359 100 0.72
6 2
1 2 217 75 2.56
2 4 194 65 2.56
7 4
1 4 129 90 1.64
2 1 112 90 0.95
3 4 95 111 1.44
4 2 92 63 1.95
0 773 0.34 1664 0.44 1636 0.18 2039 0.38 1432 0.34 1643 0.49 2052 0.17 1353 
1 173 0 173 13 0.1 19 0.2 95 0.5 27 0.4 60 0.1 47 0.2 91 0.4 10 
2 60 0 145 14 0.5 38 0.4 42 0.4 33 0.2 24 0.3 14 0.4 10 0.2 85 
3 114 0 161 17 0.3 30 0.2 36 0.2 88 0.4 10 0.3 40 0.2 89 0.5 33 
4 115 0 115 6 0.3 70 0.5 96 0.4 51 0.3 87 0.4 32 0.2 93 0.3 29 
5 57 0 156 16 0.2 81 0.2 11 0.1 84 0.3 61 0.4 82 0.5 90 0.4 40 
6 42 0 166 11 0.4 77 0.1 80 0.2 43 0.4 60 0.2 28 0.3 22 0.2 84 
7 43 0 97 13 0.2 15 0.4 72 0.4 47 0.1 64 0.3 82 0.3 14 0.3 37 
8 147 0 158 4 0.3 19 0.1 11 0.3 83 0.1 51 0.2 73 0.1 79 0.4 22 
9 84 0 149 3 0.3 74 0.4 40 0.1 24 0.2 77 0.2 55 0.2 42 0.3 28 
10 46 0 98 2 0.2 87 0.3 20 0.3 29 0.5 81 0.5 47 0.3 43 0.1 11 
11 91 0 118 14 0.2 27 0.3 70 0.4 73 0.1 37 0.4 74 0.1 63 0.5 80 
12 99 0 185 5 0.1 33 0.5 78 0.3 18 0.4 45 0.3 23 0.4 99 0.4 90 
13 70 0 122 6 0.5 40 0.2 94 0.3 98 0.3 89 0.2 74 0.3 72 0.1 28 
14 25 0 76 7 0.4 51 0.5 69 0.1 43 0.5 43 0.5 69 0.3 42 0.5 43 
15 38 0 91 4 0.3 56 0.3 16 0.1 84 0.1 70 0.2 21 0.5 23 0.3 12 
16 129 0 157 6 0.3 95 0.3 40 0.2 76 0.3 86 0.2 18 0.2 46 0.5 74 
17 103 0 123 12 0.3 79 0.3 19 0.3 18 0.3 77 0.3 23 0.2 86 0.4 87 
18 56 0 102 2 0.1 12 0.3 34 0.2 47 0.5 47 0.3 57 0.3 69 0.4 94 
19 54 0 156 7 0.1 52 0.2 91 0.1 60 0.3 13 0.1 11 0.4 46 0.2 93 
0	1238	2398	2183	3214	2930	3709	2627	2677	4229	4627	7891	6341	5047	8006	8159	6765	5946	6358	7358	
1238	0	1494	2632	3662	3379	4158	2981	2021	2146	3635	8387	6790	5496	8455	8608	4640	3305	4275	6364	
2398	1494	0	1601	2796	3238	5164	5015	4078	2793	3192	7260	5882	5355	9456	9609	8215	4510	4922	5921	
2183	2632	1601	0	1891	2612	4538	4389	5695	4410	2728	8321	4734	4728	8829	8982	7588	6127	6539	10465	
3214	3662	2796	1891	0	2215	4969	5555	5706	5101	3516	8540	2461	3515	5884	10149	8755	6818	7230	10685	
2930	3379	3238	2612	2215	0	3473	3747	4835	5363	5762	10464	4635	2941	3534	8340	6946	7080	7492	12609	
3709	4158	5164	4538	4969	3473	0	2414	4284	7443	7841	11105	6156	3717	2665	5409	5614	6987	9572	10572	
2627	2981	5015	4389	5555	3747	2414	0	2529	4682	7534	10798	9248	5936	5609	5163	3257	5280	6999	10265	
2677	2021	4078	5695	5706	4835	4284	2529	0	2262	4024	8782	8279	6985	8671	12308	3795	2634	4353	6759	
4229	2146	2793	4410	5101	5363	7443	4682	2262	0	2963	7715	7088	6674	10782	13585	6304	3788	2695	5692	
4627	3635	3192	2728	3516	5762	7841	7534	4024	2963	0	4835	6483	9225	16701	14517	7359	4843	4670	2912	
7891	8387	7260	8321	8540	10464	11105	10798	8782	7715	4835	0	5588	9427	13244	16886	16800	13183	8395	5501	
6341	6790	5882	4734	2461	4635	6156	9248	8279	7088	6483	5588	0	3283	6031	13975	11825	16986	12198	9304	
5047	5496	5355	4728	3515	2941	3717	5936	6985	6674	9225	9427	3283	0	3751	9949	14877	8610	15703	12809	
8006	8455	9456	8829	5884	3534	2665	5609	8671	10782	16701	13244	6031	3751	0	4242	7261	15593	20098	17203	
8159	8608	9609	8982	10149	8340	5409	5163	12308	13585	14517	16886	13975	9949	4242	0	5068	9132	13855	17429	
6765	4640	8215	7588	8755	6946	5614	3257	3795	6304	7359	16800	11825	14877	7261	5068	0	5031	10025	13600	
5946	3305	4510	6127	6818	7080	6987	5280	2634	3788	4843	13183	16986	8610	15593	9132	5031	0	3757	10358	
6358	4275	4922	6539	7230	7492	9572	6999	4353	2695	4670	8395	12198	15703	20098	13855	10025	3757	0	5639	
7358	6364	5921	10465	10685	12609	10572	10265	6759	5692	2912	5501	9304	12809	17203	17429	13600	10358	5639	0	
